number	tech_radar_num	folder	active_status	priority	ae_lead	bd_lead_si_customer	ae_objective
RFQ10839		RFQ10839 Great Wall 9AT Carrier 1	active	high	C. Tao	S. Wang	Support conversion to PM design
SBU17-128		SBU17-128 PMDM Core Rod Bolt	closed				
SBU17-47-		SBU17-47-PMDS AB1V carrier testing validation	closed				
SBU17-74 		SBU17-74 PMDM Densification Roller FEA	closed				
SBU17-83 		SBU17-83 PMDA 10R80 Rotor FEA	closed				
SBU18-034		SBU18-034 Line Densification Draw Bar Failure	closed				
SBU18-053		SBU18-053 T1XX Carrier Spline Durability	closed				
SBU18-115		SBU18-115  GFx 9T65 output carrier	closed				
SBU18-116		SBU18-116 269 Hydraulic Head	closed				
SBU18-XXX		SBU18-XXX Magna 5710 Carrier Spline Durability	closed				
SBU19-025		SBU19-025 PM-S AB1V Input Carrier Durability	active	medium	B. Ayre	Y. Praden	"Redesign fixture to avoid spline interference, and make stress state more representative of transmission"
SBU19-054		SBU19-054 EBO3 Rotor FEA	closed				
CT projects		HSBC Capacity Plan	active	high	C. Tao	M. Dhiman	"develop accurate capacity plans in SI format that can be maintained, for quoting and planning purposes."
CT projects		Pump Component Orientation	active	high	C. Tao	n/a	"develop accurate capacity plans in SI format that can be maintained, for quoting and planning purposes."
CT projects		"Pump Component projects (P6, gen2, etc.)"	active	high	C. Tao	B. Farr	support improvement of HSBC technical capabilities to adequately support FPS-C
AE20-22		PM-A Gear HT distortion study	active	high	N. Ahmed	R. Leishman	Generate data to understand and quantify distortion impact from various heat treatment methods; primarily to support GM 10L Diesel RFQ10733
RFQ10813		RFI for GM ring gear	active	high	N. Ahmed	M. Dhiman	"support BD, GM to generate new ring gear business and technology"
"AE#tbd, TR#___"		LS Dyna trials	active	high	H. Ye	B. Ayre	"simulate key manufacturing processes to reduce development time, iterations, cost"
AE#tbd; TR#___		AVL-Preonlab trial	active	high	H. Ye	R&I	
RFQ#___________		"new Hofer-Renault-Nissan ring gears (smaller, L&R drive application)"	active	high	N. Ahmed	P. Schaeflein	fill in!
tbd	n/a	"Simulation disk space reduction, maintenance"	active	medium	H. Ye	IT	fill in!
n/a	n/a	gleason webinars	active	medium	N. Ahmed	B. Ayre	http://marc/AE/default.aspx?RootFolder=%2FAE%2FEngineering%20LIBRARY%2FHow%20to%20Gears%20Technology&FolderCTID=0x012000075B64AAE5AA2347B94EE979AC3E8608&View={F84BC0C3-FC28-45F1-B354-95A50CD6C10F}
tbd		Intern Training Plan	closed	high	"A. Mo, J. Wilson"	B. Ayre	Intern Training Plan; onboarding 2020
			active	high	N. Ahmed	M. Dhiman	PM Gear for FPS-C?  Awaiting feedback/intelligence
		pdf fixture drawing cleanup	active	low	"A. Mo, J. Wilson"	B. Ayre	Make approved electronic fixture drawings organized and available to the tech services team
		sona - ZF edapt	on hold?	medium	B. Ayre	P. Schaeflein	
AE PRJ #?		"feasibility compaction and HT distortion trial plan for multiple hubbed gears, sponda, ZF8HPgen4, 10L?"	active	medium	B. Ayre	P. Schaeflein	"see ae19-27; but this doesn't cover sponda hub and interrupted wall distortion (can we green machine a slot in hubs, then compare sinter & HT distortion)?  Use cutoff wheel?"
y		Digital Twin activities; put in separate team meetings?	active	medium	H. Ye		
		Departmental hardware optimization	active	medium	H. Ye		Identify opportunities to improve departmental productivity through incremental hardware improvements
		Departmental software optimization	active	medium	H. Ye		Identify opportunities to improve departmental productivity through incremental software improvements
		windchill login to old	active	high	B. Ayre		need to be able to access Frank's CAD data when he is unavailable
		upgrade to new windchill	active	high	B. Ayre	R. Leishman	"Organize design data, work towards revision control, allow Frank to upgrade to Windows 10"
		VCST-Volvo-Geely ring gear	on hold	high	N. Ahmed	P. Schaeflein	
		8f24 transfer to HSBC	active	high	C. Tao	J. Hartmann	8f24 transfer to HSBC
		"new ea-288 VW volume non-split idler, gear system?"	active	medium	B. Ayre	P. Schaeflein	
RFQ10766		RFQ10766 Punch Powertrain eDCT Carrier Assembly	active	high	F. Ma	P. Schaeflein	Support BD via PMDS redesign simulation and optimization
		"add gear pitting benchmarking, VCST and insource / outsource"	active	high	N. Ahmed	M. Dhiman	
		R&I 2SPGS carrier protos	active	high	B. Ayre	Mayu	
		tech radar updates	active	medium	H. Ye	Mayu	
		SWI folder organization	active	high	A. Mo	B. Ayre	"make our swi's organized, and available to all of corp tech-services (BD and Yannic's group), to be ready for upload to an electronic filing system (EtQ for example)"
